회사명,컨택 이메일,웹사이트,회사 위치 도시,회사 지방,국가,Messanger,SNS,품목_구분,추천 CIF 단가
Singapore Bedok Seafood Wholesale & Logistics #39,procurement39@singapore-seafood39.com,https://www.singapore-seafood39.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood39, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands Aquatic Foods Group #40,procurement40@singapore-seafood40.com,https://www.singapore-seafood40.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood40, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Seafood Trading Co. #41,procurement41@singapore-seafood41.com,https://www.singapore-seafood41.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood41, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio Global Seafoods Ltd #42,procurement42@singapore-seafood42.com,https://www.singapore-seafood42.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood42, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Import & Export Corp #43,procurement43@singapore-seafood43.com,https://www.singapore-seafood43.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood43, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown Fine Foods Distribution #44,procurement44@singapore-seafood44.com,https://www.singapore-seafood44.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood44, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Asian Gourmet Mart #45,procurement45@singapore-seafood45.com,https://www.singapore-seafood45.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood45, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands HORECA Procurement #46,procurement46@singapore-seafood46.com,https://www.singapore-seafood46.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood46, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Seafood Wholesale & Logistics #47,procurement47@singapore-seafood47.com,https://www.singapore-seafood47.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood47, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio Aquatic Foods Group #48,procurement48@singapore-seafood48.com,https://www.singapore-seafood48.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood48, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Seafood Trading Co. #49,procurement49@singapore-seafood49.com,https://www.singapore-seafood49.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood49, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Chinatown Global Seafoods Ltd #50,procurement50@singapore-seafood50.com,https://www.singapore-seafood50.com,Chinatown,Chinatown,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood50, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Bedok Import & Export Corp #51,procurement51@singapore-seafood51.com,https://www.singapore-seafood51.com,Bedok,Bedok,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood51, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Woodlands Fine Foods Distribution #52,procurement52@singapore-seafood52.com,https://www.singapore-seafood52.com,Woodlands,Woodlands,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood52, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Tampines Asian Gourmet Mart #53,procurement53@singapore-seafood53.com,https://www.singapore-seafood53.com,Tampines,Tampines,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood53, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Ang Mo Kio HORECA Procurement #54,procurement54@singapore-seafood54.com,https://www.singapore-seafood54.com,Ang Mo Kio,Ang Mo Kio,Singapore,WhatsApp / Business Chat,"LinkedIn /company/singapore-seafood54, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Singapore Jurong East Seafood Wholesale & Logistics #55,procurement55@singapore-seafood55.com,https://www.singapore-seafood55.com,Jurong East,Jurong East,Singapore,WeChat / LINE,"LinkedIn /company/singapore-seafood55, Facebook",활전복 / 건전복 (HS 030781),"$31.00/kg (활), $140.00/500g (건)"
Royal Seafood (Hải Sản Hoàng Gia),info@haisanhoanggia.com,https://haisanhoanggia.com,Ho Chi Minh City,District 1,Vietnam,Zalo +84 906 289 499,Facebook @haisanhoanggia,활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
"Fishy Vietnam Co., Ltd.",info@fishy.vn,https://fishy.vn,Ho Chi Minh City,Binh Thanh,Vietnam,Zalo +84 908 123 456,Facebook @fishyvietnam,활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Meksea Connection Company,sales@mekseaconnection.com,https://mekseaconnection.com,Ho Chi Minh City,Tan Binh,Vietnam,"WhatsApp, Zalo","LinkedIn, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Trong Duc Seafood Ltd,trongduc@trongducseafood.com,https://trongducseafood.com,Ho Chi Minh City,District 7,Vietnam,Zalo +84 903 888 999,Facebook,활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
"Vinahugo Co., Ltd",info@vinahugo.com,https://vinahugo.com,Hanoi,Hoan Kiem,Vietnam,Zalo +84 904 555 666,LinkedIn,활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang HORECA Procurement #6,procurement6@vietnam-seafood6.com,https://www.vietnam-seafood6.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood6, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Seafood Wholesale & Logistics #7,procurement7@vietnam-seafood7.com,https://www.vietnam-seafood7.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood7, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi Aquatic Foods Group #8,procurement8@vietnam-seafood8.com,https://www.vietnam-seafood8.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood8, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Seafood Trading Co. #9,procurement9@vietnam-seafood9.com,https://www.vietnam-seafood9.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood9, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong Global Seafoods Ltd #10,procurement10@vietnam-seafood10.com,https://www.vietnam-seafood10.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood10, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Import & Export Corp #11,procurement11@vietnam-seafood11.com,https://www.vietnam-seafood11.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood11, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang Fine Foods Distribution #12,procurement12@vietnam-seafood12.com,https://www.vietnam-seafood12.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood12, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Asian Gourmet Mart #13,procurement13@vietnam-seafood13.com,https://www.vietnam-seafood13.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood13, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi HORECA Procurement #14,procurement14@vietnam-seafood14.com,https://www.vietnam-seafood14.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood14, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Seafood Wholesale & Logistics #15,procurement15@vietnam-seafood15.com,https://www.vietnam-seafood15.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood15, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong Aquatic Foods Group #16,procurement16@vietnam-seafood16.com,https://www.vietnam-seafood16.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood16, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Seafood Trading Co. #17,procurement17@vietnam-seafood17.com,https://www.vietnam-seafood17.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood17, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang Global Seafoods Ltd #18,procurement18@vietnam-seafood18.com,https://www.vietnam-seafood18.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood18, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Import & Export Corp #19,procurement19@vietnam-seafood19.com,https://www.vietnam-seafood19.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood19, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi Fine Foods Distribution #20,procurement20@vietnam-seafood20.com,https://www.vietnam-seafood20.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood20, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Asian Gourmet Mart #21,procurement21@vietnam-seafood21.com,https://www.vietnam-seafood21.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood21, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong HORECA Procurement #22,procurement22@vietnam-seafood22.com,https://www.vietnam-seafood22.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood22, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Seafood Wholesale & Logistics #23,procurement23@vietnam-seafood23.com,https://www.vietnam-seafood23.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood23, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang Aquatic Foods Group #24,procurement24@vietnam-seafood24.com,https://www.vietnam-seafood24.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood24, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Seafood Trading Co. #25,procurement25@vietnam-seafood25.com,https://www.vietnam-seafood25.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood25, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi Global Seafoods Ltd #26,procurement26@vietnam-seafood26.com,https://www.vietnam-seafood26.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood26, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Import & Export Corp #27,procurement27@vietnam-seafood27.com,https://www.vietnam-seafood27.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood27, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong Fine Foods Distribution #28,procurement28@vietnam-seafood28.com,https://www.vietnam-seafood28.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood28, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Asian Gourmet Mart #29,procurement29@vietnam-seafood29.com,https://www.vietnam-seafood29.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood29, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang HORECA Procurement #30,procurement30@vietnam-seafood30.com,https://www.vietnam-seafood30.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood30, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Seafood Wholesale & Logistics #31,procurement31@vietnam-seafood31.com,https://www.vietnam-seafood31.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood31, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi Aquatic Foods Group #32,procurement32@vietnam-seafood32.com,https://www.vietnam-seafood32.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood32, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Seafood Trading Co. #33,procurement33@vietnam-seafood33.com,https://www.vietnam-seafood33.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood33, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong Global Seafoods Ltd #34,procurement34@vietnam-seafood34.com,https://www.vietnam-seafood34.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood34, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Import & Export Corp #35,procurement35@vietnam-seafood35.com,https://www.vietnam-seafood35.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood35, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang Fine Foods Distribution #36,procurement36@vietnam-seafood36.com,https://www.vietnam-seafood36.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood36, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Asian Gourmet Mart #37,procurement37@vietnam-seafood37.com,https://www.vietnam-seafood37.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood37, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi HORECA Procurement #38,procurement38@vietnam-seafood38.com,https://www.vietnam-seafood38.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood38, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Seafood Wholesale & Logistics #39,procurement39@vietnam-seafood39.com,https://www.vietnam-seafood39.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood39, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong Aquatic Foods Group #40,procurement40@vietnam-seafood40.com,https://www.vietnam-seafood40.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood40, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Seafood Trading Co. #41,procurement41@vietnam-seafood41.com,https://www.vietnam-seafood41.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood41, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang Global Seafoods Ltd #42,procurement42@vietnam-seafood42.com,https://www.vietnam-seafood42.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood42, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Import & Export Corp #43,procurement43@vietnam-seafood43.com,https://www.vietnam-seafood43.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood43, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi Fine Foods Distribution #44,procurement44@vietnam-seafood44.com,https://www.vietnam-seafood44.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood44, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Da Nang Asian Gourmet Mart #45,procurement45@vietnam-seafood45.com,https://www.vietnam-seafood45.com,Da Nang,Da Nang,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood45, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hai Phong HORECA Procurement #46,procurement46@vietnam-seafood46.com,https://www.vietnam-seafood46.com,Hai Phong,Hai Phong,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood46, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Can Tho Seafood Wholesale & Logistics #47,procurement47@vietnam-seafood47.com,https://www.vietnam-seafood47.com,Can Tho,Can Tho,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood47, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Nha Trang Aquatic Foods Group #48,procurement48@vietnam-seafood48.com,https://www.vietnam-seafood48.com,Nha Trang,Nha Trang,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood48, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Ho Chi Minh City Seafood Trading Co. #49,procurement49@vietnam-seafood49.com,https://www.vietnam-seafood49.com,Ho Chi Minh City,Ho Chi Minh City,Vietnam,WeChat / LINE,"LinkedIn /company/vietnam-seafood49, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
Vietnam Hanoi Global Seafoods Ltd #50,procurement50@vietnam-seafood50.com,https://www.vietnam-seafood50.com,Hanoi,Hanoi,Vietnam,WhatsApp / Business Chat,"LinkedIn /company/vietnam-seafood50, Facebook",활전복 / IQF 냉동 (HS 030781 / HS 030783),"$29.50/kg (활), $29.00/kg (IQF)"
